# object_name   ref_object  relative_start_x relative_start_y   end_x end_y 
Snake0   Origin  2578 17709   5 3 
Ladder1   Snake0  13817 -945   -2 -2 
Ladder2   Origin  1355 34448   -4 -1 
Ladder3   Snake0  1155 29426   3 -3 
Ladder4   Snake0  9701 -9445   -2 -2 
Ladder5   Ladder1  -6610 15449   -5 -5 
Ladder6   Origin  23134 27447   1 -1 
Ladder7   Origin  35100 1396   3 -3 
Ladder8   Ladder3  43668 -23681   -3 -1 
Ladder9   Ladder8  -10946 -3330   1 -2 
Snake10   Snake0  43802 7549   0 5 
Snake11   Ladder7  11326 20207   5 5 
Ladder12   Ladder1  18379 19404   0 -2 
Ladder13   Ladder1  30303 -8280   -4 -2 
Snake14   Ladder7  -19503 30646   -1 4 
Snake15   Ladder13  -39471 2685   -1 4 
Snake16   Origin  21222 33297   0 1 
Ladder17   Origin  6413 41427   -3 -3 
Snake18   Ladder8  -12651 2091   4 4 
Snake19   Snake0  11927 20519   -1 1 
Ladder20   Origin  21853 29276   3 -5 
Ladder21   Ladder5  27820 15105   -5 -5 
Snake22   Snake15  8417 -4310   -2 3 
Snake23   Ladder2  26043 10567   -3 3 
Snake24   Snake15  20008 36641   4 2 
Snake25   Ladder4  24533 8804   3 1 
Ladder26   Ladder8  -30476 20457   5 -2 
Snake27   Snake0  33728 22303   -4 4 
Ladder28   Ladder12  -29597 -3493   4 -4 
Ladder29   Ladder20  25741 4751   3 -4 
Ladder30   Ladder4  33436 29956   -4 -5 
Ladder31   Ladder2  35277 -18230   -5 -5 
Snake32   Snake0  29792 -6668   5 3 
Ladder33   Ladder9  -14979 -10079   -2 -3 
Ladder34   Snake10  3160 -17781   -5 -1 
Ladder35   Ladder6  11718 -5997   -2 -3 
Snake36   Snake25  -31817 15462   2 5 
Snake37   Ladder26  -12220 -1923   -1 4 
Ladder38   Snake22  1026 26201   5 -2 
Ladder39   Ladder8  -25426 11511   4 -5 
Snake40   Ladder26  3870 -11054   3 5 
Ladder41   Ladder39  -14137 3243   3 -2 
Ladder42   Ladder12  5701 -18337   -1 -5 
Ladder43   Ladder5  27196 -30103   2 -2 
Ladder44   Snake0  9183 11884   -4 -4 
Snake45   Snake27  -30236 -2865   0 1 
Snake46   Ladder7  -14040 19231   -2 5 
Snake47   Snake27  -19385 -36831   -5 5 
Snake48   Snake11  -44130 -2609   -5 5 
Ladder49   Snake48  26341 10955   -1 -2 
Ladder50   Ladder1  15573 -2895   -4 -4 
Snake51   Ladder7  -23852 3769   2 5 
Ladder52   Ladder7  -3046 45206   4 -4 
Ladder53   Snake47  24218 40026   3 -5 
Snake54   Ladder53  -19922 -42317   0 4 
Ladder55   Ladder8  -12667 -14623   -2 -3 
Ladder56   Ladder28  27335 1141   -1 -2 
Ladder57   Snake25  -32123 15656   2 -4 
Ladder58   Snake11  -42098 -1941   1 -2 
Ladder59   Snake54  -2215 48347   0 -3 
Snake60   Snake32  -21234 14798   3 4 
Snake61   Ladder41  33494 -10489   -2 2 
Ladder62   Ladder2  710 -19339   -3 -2 
Ladder63   Ladder62  32255 -10795   -5 -3 
Snake64   Snake27  -30786 -34968   4 2 
Ladder65   Snake0  5899 13472   -1 -5 
Ladder66   Snake36  37262 -32147   0 -3 
Ladder67   Ladder30  -24397 -24673   -4 -4 
Snake68   Snake23  -9591 -28727   5 1 
Ladder69   Ladder57  31042 -28338   5 -5 
Ladder70   Ladder53  -14560 -15374   0 -2 
Ladder71   Snake64  24423 24762   -4 -5 
Snake72   Snake48  1853 19602   5 2 
Ladder73   Snake48  46803 12174   3 -3 
Snake74   Snake22  -14122 28172   -3 5 
Ladder75   Ladder31  -18004 17803   -5 -4 
Ladder76   Snake74  47770 385   -4 -4 
Ladder77   Snake27  -15564 -23269   1 -4 
Ladder78   Ladder3  13723 -13640   1 -1 
Ladder79   Ladder71  -3092 -17131   0 -2 
Snake80   Snake72  18839 -4359   -2 3 
