# object_name   ref_object  relative_start_x relative_start_y   end_x end_y 
Ladder0   Origin  6502 2415   2 -2 
Snake1   Origin  4660 2324   -2 4 
Ladder2   Ladder0  2229 2588   -2 -5 
Snake3   Origin  3658 9402   -3 1 
Ladder4   Origin  7488 5634   5 -2 
Snake5   Origin  6535 2259   1 2 
Snake6   Ladder4  -1317 -1106   5 4 
Snake7   Snake3  3475 -3095   2 2 
Snake8   Ladder0  -818 -803   -5 1 
Snake9   Snake7  -3908 3149   4 1 
Snake10   Ladder2  -4695 -3114   3 4 
Ladder11   Ladder4  -5389 2377   3 -3 
Ladder12   Ladder2  -4981 1936   4 -5 
Ladder13   Snake8  -4389 1166   3 -3 
Ladder14   Snake7  -4952 -2477   -2 -2 
Snake15   Snake6  -2528 -3430   5 2 
Snake16   Snake10  -3708 7781   -3 4 
Ladder17   Snake7  -2611 348   -4 -2 
Ladder18   Snake7  211 -4900   2 -4 
Ladder19   Ladder18  1409 1924   2 -5 
Snake20   Ladder19  -3038 -2939   -1 2 
Ladder21   Snake10  5136 5957   -4 -4 
Ladder22   Snake3  3976 -8931   -5 -2 
Ladder23   Snake15  5173 5412   -1 -2 
Snake24   Ladder13  1372 -7   -3 2 
Ladder25   Ladder4  -7083 335   1 -3 
Ladder26   Ladder25  2633 2246   0 -3 
Ladder27   Ladder11  3652 -5868   3 -1 
Ladder28   Ladder11  -1658 -6260   -5 -4 
Snake29   Snake7  1387 -2116   -5 2 
Ladder30   Snake15  5780 3561   -2 -4 
Snake31   Ladder4  935 -4715   1 3 
Ladder32   Ladder28  3532 1904   0 -3 
Ladder33   Ladder26  6304 -2499   0 -3 
Ladder34   Snake29  -6595 1404   -5 -1 
Snake35   Ladder27  1093 6879   -5 5 
Ladder36   Snake6  -271 -3428   -4 -1 
Snake37   Ladder30  -6496 -544   4 3 
Snake38   Snake9  -2717 -4222   -5 4 
Snake39   Ladder27  -278 6383   -5 2 
Ladder40   Ladder30  -2966 -577   -2 -4 
Snake41   Snake7  2394 739   3 3 
Snake42   Snake29  -5900 -688   5 3 
Ladder43   Ladder12  -1458 -3897   -3 -2 
Ladder44   Snake10  3051 5661   -4 -3 
Ladder45   Ladder17  3404 -5786   -4 -1 
Ladder46   Snake10  -3148 -1466   3 -4 
Snake47   Snake15  -1264 59   1 3 
Snake48   Ladder27  137 4397   -2 4 
Ladder49   Snake3  5658 -2863   3 -5 
Ladder50   Snake35  -1736 -4565   1 -2 
Ladder51   Ladder43  -840 -265   5 -3 
Snake52   Ladder49  -6963 2754   -2 4 
Snake53   Snake35  -4528 -7833   1 1 
Snake54   Snake31  1350 -363   4 3 
Snake55   Ladder51  2541 1219   1 4 
Ladder56   Snake15  3350 7687   -5 -4 
Ladder57   Ladder4  -29 1643   4 -1 
Snake58   Snake7  380 -6098   3 5 
Ladder59   Snake3  -3465 -2827   0 -2 
Snake60   Ladder45  -6845 -381   -5 5 
Snake61   Snake54  -5540 1333   3 3 
Ladder62   Ladder17  -1869 2612   -2 -5 
Ladder63   Snake55  5772 -2415   0 -1 
Ladder64   Snake41  -7835 -1659   5 -1 
Ladder65   Snake39  -840 -1288   -4 -1 
Snake66   Ladder51  7542 5814   2 3 
Ladder67   Ladder56  -5843 -900   2 -1 
Snake68   Ladder25  723 -5398   3 2 
Ladder69   Ladder11  -416 -3727   1 -3 
Snake70   Ladder62  2282 -2394   4 2 
Ladder71   Ladder44  -4963 -3938   -2 -4 
Snake72   Snake9  1897 -7186   -4 3 
Ladder73   Ladder17  -2096 -3211   1 -4 
Ladder74   Ladder67  2186 -2557   0 -1 
Snake75   Ladder62  4703 453   -3 5 
Snake76   Ladder56  -869 -388   1 1 
Snake77   Snake58  -4853 6823   2 4 
Ladder78   Snake66  -8184 -5298   1 -5 
Snake79   Snake58  -1156 5319   4 4 
Ladder80   Snake5  2266 1354   1 -3 
Snake81   Ladder12  3109 -1388   3 4 
Ladder82   Snake79  -721 -3245   2 -1 
Snake83   Ladder46  8124 5619   5 5 
Snake84   Snake54  -7431 -324   2 4 
Snake85   Snake41  -2201 -3732   -2 5 
Snake86   Snake39  -3658 -1853   4 3 
Snake87   Ladder26  3834 -6892   3 4 
Snake88   Snake16  7917 -1889   1 5 
Ladder89   Snake41  -969 737   -1 -4 
Ladder90   Snake20  3197 510   0 -5 
Ladder91   Snake88  -5240 108   -3 -4 
